idrefligc;res_com;mode;train;rer;metro;tramway;exploitant;date_mes
C01374;METRO 4;METRO;0;0;1;0;RATP;23/03/2013
C01684;TRAM 5;TRAMWAY;0;0;0;1;RATP;29/07/2013
C01774;TRAM 7;TRAMWAY;0;0;0;1;RATP;16/11/2013
C01794;TRAM 6;TRAMWAY;0;0;0;1;RATP;13/12/2014
C01795;TRAM 8;TRAMWAY;0;0;0;1;RATP;16/12/2014
C01999;TRAM 11;TRAMWAY;0;0;0;1;TRANSKEO;30/06/2017
C01679;TRAM 3b;TRAMWAY;0;0;0;1;RATP;24/11/2018
C01389;TRAM 1;TRAMWAY;0;0;0;1;RATP;12/10/2019
C01843;TRAM 4;TRAMWAY;0;0;0;1;SNCF;14/12/2019
C01384;METRO 14;METRO;0;0;1;0;RATP;14/12/2020
C02317;TRAM 9;TRAMWAY;0;0;0;1;KEOLIS;10/04/2021
C01382;METRO 12;METRO;0;0;1;0;RATP;31/05/2022
C02344;TRAM 13;TRAMWAY;0;0;0;1;Transkeo;06/07/2022
C02528;TRAM 10;TRAMWAY;0;0;0;1;RD Bièvre;24/06/2023
C02529;TRAM 12;TRAMWAY;0;0;0;1;SNCF;09/12/2023